issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,32,32,60,2,2,2,32,2,19444004
2,32,32,60,2,2,4,32,2,19444109
2,32,32,60,4,1,1,16,1,22064682
2,32,32,60,4,1,1,48,1,20269593
2,32,32,60,4,2,1,48,1,20269593
2,32,32,60,6,1,2,48,2,16251667
2,32,32,60,6,2,1,48,1,20269593
2,32,96,0,0,0,0,0,0,42656775
2,32,96,10,4,1,2,48,3,18857891
2,32,96,20,2,1,2,48,2,21450526
2,32,96,20,2,1,4,48,1,22201105
2,32,96,20,2,2,4,32,1,22132709
2,32,96,20,4,2,4,16,1,23546024
2,32,96,20,6,1,1,16,1,24146182
2,32,96,20,6,2,4,32,1,21532711
2,32,96,30,2,1,2,16,3,20706819
2,32,96,30,2,2,1,32,1,22095521
2,32,96,30,2,2,2,32,3,19281538
2,32,96,30,2,2,4,48,1,21169802
2,32,96,30,4,1,2,16,1,23358497
2,32,96,30,4,1,2,48,1,20644830
2,32,96,30,4,1,4,48,1,20645006
2,32,96,30,6,2,1,32,2,16476715
2,32,96,40,2,1,2,32,2,19650804
2,32,96,40,4,2,1,48,2,18707754
2,32,96,40,4,2,2,16,1,22477241
2,32,96,40,6,2,4,48,1,20325940
2,32,96,50,2,1,2,16,2,19444942
2,32,96,50,4,1,2,16,1,21989890
2,32,96,50,6,1,1,48,3,16362631
2,32,96,50,6,1,4,16,1,21989860
2,32,96,60,2,2,2,48,1,20794802
2,32,96,60,4,1,1,16,3,17925746
2,32,96,60,6,2,1,48,3,16449963
2,32,96,60,6,2,2,32,3,16450007
2,64,128,0,0,0,0,0,0,42610541
2,64,128,10,2,1,1,32,1,23750944
2,64,128,10,2,2,1,48,1,23543864
2,64,128,10,2,2,1,32,3,25196166
2,64,128,10,4,2,1,16,3,21225743
2,64,128,10,6,1,2,16,1,25088845
2,64,128,10,6,1,4,48,3,17575581
2,64,128,10,6,2,1,16,1,25164098
2,64,128,20,2,2,4,32,2,21106145
2,64,128,20,4,1,1,16,1,25001412
2,64,128,20,4,1,1,32,3,16949662
2,64,128,20,6,2,2,16,3,17974717
2,64,128,30,2,1,4,32,2,19555823
2,64,128,30,2,2,4,16,3,19136539
2,64,128,30,2,2,4,32,3,19280477
2,64,128,30,4,1,4,48,1,20643843
2,64,128,30,6,1,1,32,1,21325436
2,64,128,40,2,1,2,32,2,19606014
2,64,128,40,2,1,2,32,3,19017818
2,64,128,40,2,1,2,48,3,19016858
2,64,128,40,2,1,4,48,2,18934128
2,64,128,40,2,2,4,16,3,19017879
2,64,128,40,4,1,1,48,2,18662965
2,64,128,40,4,2,2,48,1,20281226
2,64,128,40,4,2,4,16,2,18363503
2,64,128,40,6,2,2,32,3,16274224
2,64,128,50,2,2,4,32,2,19443251
2,64,128,50,4,2,2,32,3,18048805
2,64,128,50,6,1,2,16,2,16175730
2,64,128,50,6,2,2,32,3,17298807
2,64,128,60,2,1,2,48,3,19142240
2,64,128,60,2,2,2,16,1,23638850
2,64,128,60,2,2,4,48,3,19891973
2,64,128,60,4,2,1,16,2,18575851
2,64,128,60,4,2,2,16,2,18500697
2,64,128,60,6,1,4,32,2,16250659
2,64,128,60,6,2,2,32,3,17123641
2,64,32,0,0,0,0,0,0,42614467
