issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,192,96,10,6,1,4,16,1,41727618
2,192,96,20,2,1,1,32,1,41415091
2,192,96,20,2,1,2,32,2,39949373
2,192,96,20,2,2,1,32,3,39733475
2,192,96,20,2,2,2,48,3,37692235
2,192,96,20,6,1,1,16,3,40938890
2,192,96,30,2,1,4,16,3,41086359
2,192,96,30,2,2,2,16,1,41458510
2,192,96,40,2,1,1,16,1,41419564
2,192,96,40,2,1,2,16,2,41213389
2,192,96,40,2,2,2,32,1,41393299
2,192,96,40,4,1,4,16,3,40209804
2,192,96,40,6,2,1,32,1,41279612
2,192,96,40,6,2,4,48,1,41285632
2,192,96,50,2,1,1,48,3,36565126
2,192,96,50,4,1,1,32,2,40894068
2,192,96,50,4,1,4,16,2,40923317
2,192,96,50,6,1,4,32,3,36486616
2,192,96,60,2,1,1,16,1,41419464
2,192,96,60,2,1,2,32,3,40238115
2,192,96,60,2,2,1,48,1,41393043
2,192,96,60,4,2,1,16,2,40969668
2,32,128,0,0,0,0,0,0,42797441
2,32,128,10,2,1,2,16,2,41812476
2,32,128,20,2,1,1,48,1,41506356
2,32,128,20,2,1,4,32,3,36910516
2,32,128,20,4,2,1,16,3,40885980
2,32,128,20,6,2,4,16,1,41410869
2,32,128,30,2,1,1,16,2,41297421
2,32,128,30,4,2,4,16,1,41425705
2,32,128,30,6,2,2,32,1,41405963
2,32,128,40,2,2,2,32,3,38332320
2,32,128,40,2,2,4,16,2,40521039
