Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKernelEvaluations,measureCacheHits,measureNumRules
bitcount_sbcci_cycles,4,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1316205.833901986,2314671.933665289,45.79002107122929,47.569929264136434,0.8883242224492569,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1166507.338685109,1691961.7963803494,56.423754643349326,51.58598787835786,0.8590225300457821,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1074814.5343700892,1300802.7737815122,52.2020290167848,48.60957401213888,0.9057183155330087,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1143226.1636065901,1413234.7699463211,50.254737740071874,49.749053905431026,0.8892184351572224,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,1287904.8843721827,1837278.345869821,57.85576215309271,55.77429593261296,0.8285000360493272,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.0,0.0,0.0,0.0,0.0,5414.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,967363.9961717139,1167740.4774248735,55.8003218922446,55.744347002738145,0.8557998369757541,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.0,0.015625,0.0,15.625,0.0,5406.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1173779.220822472,1963445.7694587114,50.6096222057126,50.22103254076846,0.8797627137935047,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.001,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1261890.5055793386,2287049.9003781457,48.98164644356869,49.42359632188998,0.8849424754626584,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.0,0.015625,0.0,15.625,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,990656.5297678752,1207684.4625437222,49.634505673185686,48.92796781985706,0.9085999603826098,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1287700.546959046,2060764.1206759133,54.78728839125483,51.58663199025163,0.8705112517983266,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1095777.0800795385,1374239.6934881534,49.24449137195409,49.065155867739755,0.8966271376450082,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1164732.841836884,1374061.59251033,48.512601126677694,41.252540986440934,0.933108739496288,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,5,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1343618.918476017,2114705.296474977,48.86280661342945,48.99641857410763,0.8745494584538526,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
